Unique.ID,dayoflife,oto_inc_micron,sl_micron,capdate,Date,hatch.date,hatch.date.noYear,hdate,YEAR,age,yr_f,doy,TempApplied,hw,cum_OR,OR_cpt,sl_mm,BC_estimate,daily_gr
10,11,1.322,9716.0684,5/22/2006,5/10/2006,4/29/2006,29-Apr,119,2006,23,2006,130,5.009552643,before HW,24.849,43.586,9.7160684,6.629413205,0.193231027
10,12,1.328,9716.0684,5/22/2006,5/11/2006,4/29/2006,29-Apr,119,2006,23,2006,131,5.070792236,before HW,26.177,43.586,9.7160684,6.848182384,0.194108021
10,13,1.299,9716.0684,5/22/2006,5/12/2006,4/29/2006,29-Apr,119,2006,23,2006,132,5.139685817,before HW,27.476,43.586,9.7160684,7.062174223,0.189869216
10,14,1.247,9716.0684,5/22/2006,5/13/2006,4/29/2006,29-Apr,119,2006,23,2006,133,5.216643384,before HW,28.723,43.586,9.7160684,7.2675998,0.182268601
10,15,1.386,9716.0684,5/22/2006,5/14/2006,4/29/2006,29-Apr,119,2006,23,2006,134,5.302074937,before HW,30.109,43.586,9.7160684,7.495923656,0.20258563
10,16,1.187,9716.0684,5/22/2006,5/15/2006,4/29/2006,29-Apr,119,2006,23,2006,135,5.396390476,before HW,31.296,43.586,9.7160684,7.691465083,0.17349866
10,17,1.486,9716.0684,5/22/2006,5/16/2006,4/29/2006,29-Apr,119,2006,23,2006,136,5.5,before HW,32.782,43.586,9.7160684,7.936262522,0.217202198
10,18,1.891,9716.0684,5/22/2006,5/17/2006,4/29/2006,29-Apr,119,2006,23,2006,137,5.613139004,before HW,34.673,43.586,9.7160684,8.247777972,0.276399298
10,19,1.67,9716.0684,5/22/2006,5/18/2006,4/29/2006,29-Apr,119,2006,23,2006,138,5.735344964,before HW,36.343,43.586,9.7160684,8.522886803,0.244096683
10,2,1.82,9716.0684,5/22/2006,5/1/2006,4/29/2006,29-Apr,119,2006,23,2006,121,5.333792105,before HW,10.883,43.586,9.7160684,4.328712642,0.266021535
10,20,2.089,9716.0684,5/22/2006,5/19/2006,4/29/2006,29-Apr,119,2006,23,2006,139,5.865980851,before HW,38.432,43.586,9.7160684,8.867019946,0.305340102
10,21,1.191,9716.0684,5/22/2006,5/20/2006,4/29/2006,29-Apr,119,2006,23,2006,140,6.004409636,before HW,39.623,43.586,9.7160684,9.063220317,0.174083323
10,22,1.657,9716.0684,5/22/2006,5/21/2006,4/29/2006,29-Apr,119,2006,23,2006,141,6.149994292,before HW,41.28,43.586,9.7160684,9.336187582,0.242196529
10,23,1.061,9716.0684,5/22/2006,5/22/2006,4/29/2006,29-Apr,119,2006,23,2006,142,6.302097789,before HW,42.341,43.586,9.7160684,9.510972295,0.155081785
10,24,1.245,9716.0684,5/22/2006,5/23/2006,4/29/2006,29-Apr,119,2006,23,2006,143,6.460083099,before HW,43.586,43.586,9.7160684,9.7160684,0.18197627
10,3,1.272,9716.0684,5/22/2006,5/2/2006,4/29/2006,29-Apr,119,2006,23,2006,122,5.348893705,before HW,12.155,43.586,9.7160684,4.538256614,0.185922743
10,4,1.22,9716.0684,5/22/2006,5/3/2006,4/29/2006,29-Apr,119,2006,23,2006,123,5.363886221,before HW,13.375,43.586,9.7160684,4.739234323,0.178322128
10,5,1.439,9716.0684,5/22/2006,5/4/2006,4/29/2006,29-Apr,119,2006,23,2006,124,5.378730947,before HW,14.814,43.586,9.7160684,4.976289179,0.210332411
10,6,1.913,9716.0684,5/22/2006,5/5/2006,4/29/2006,29-Apr,119,2006,23,2006,125,4.803814505,before HW,16.727,43.586,9.7160684,5.291428816,0.279614943
10,7,2.191,9716.0684,5/22/2006,5/6/2006,4/29/2006,29-Apr,119,2006,23,2006,126,4.832934154,before HW,18.918,43.586,9.7160684,5.652365014,0.320249001
10,8,1.69,9716.0684,5/22/2006,5/7/2006,4/29/2006,29-Apr,119,2006,23,2006,127,4.867657792,before HW,20.608,43.586,9.7160684,5.930768562,0.247019997
10,9,1.442,9716.0684,5/22/2006,5/8/2006,4/29/2006,29-Apr,119,2006,23,2006,128,4.908395421,before HW,22.05,43.586,9.7160684,6.168317625,0.210770908
100,1,2.054,12599.3388,5/30/2010,4/29/2010,4/28/2010,28-Apr,118,2010,31.5,2010,119,5.616783465,before HW,9.954,77.581,12.5993388,4.110809786,0.23874574
100,10,2.296,12599.3388,5/30/2010,5/8/2010,4/28/2010,28-Apr,118,2010,31.5,2010,128,5.453558198,before HW,27.898,77.581,12.5993388,6.363137475,0.266874498
100,11,2.615,12599.3388,5/30/2010,5/9/2010,4/28/2010,28-Apr,118,2010,31.5,2010,129,5.499390621,before HW,30.513,77.581,12.5993388,6.69137181,0.303953315
100,12,3.139,12599.3388,5/30/2010,5/10/2010,4/28/2010,28-Apr,118,2010,31.5,2010,130,5.546553166,before HW,33.652,77.581,12.5993388,7.085378532,0.364860213
100,13,2.921,12599.3388,5/30/2010,5/11/2010,4/28/2010,28-Apr,118,2010,31.5,2010,131,5.595091174,before HW,36.573,77.581,12.5993388,7.452021932,0.339521084
100,14,2.427,12599.3388,5/30/2010,5/12/2010,4/28/2010,28-Apr,118,2010,31.5,2010,132,5.645049982,before HW,39,77.581,12.5993388,7.756658541,0.282101222
100,15,3.773,12599.3388,5/30/2010,5/13/2010,4/28/2010,28-Apr,118,2010,31.5,2010,133,5.69647493,before HW,42.773,77.581,12.5993388,8.23024483,0.43855291
100,16,3.068,12599.3388,5/30/2010,5/14/2010,4/28/2010,28-Apr,118,2010,31.5,2010,134,5.749411356,before HW,45.841,77.581,12.5993388,8.615339644,0.356607561
100,17,2.145,12599.3388,5/30/2010,5/15/2010,4/28/2010,28-Apr,118,2010,31.5,2010,135,5.8039046,before HW,47.986,77.581,12.5993388,8.884579663,0.249323083
100,18,1.872,12599.3388,5/30/2010,5/16/2010,4/28/2010,28-Apr,118,2010,31.5,2010,136,5.86,before HW,49.858,77.581,12.5993388,9.11955277,0.217591054
100,19,1.975,12599.3388,5/30/2010,5/17/2010,4/28/2010,28-Apr,118,2010,31.5,2010,137,5.917724064,before HW,51.833,77.581,12.5993388,9.367454419,0.229563211
100,2,1.598,12599.3388,5/30/2010,4/30/2010,4/28/2010,28-Apr,118,2010,31.5,2010,120,5.627107061,before HW,11.552,77.581,12.5993388,4.311390462,0.185742791
100,20,1.924,12599.3388,5/30/2010,5/18/2010,4/28/2010,28-Apr,118,2010,31.5,2010,138,5.977027976,before HW,53.757,77.581,12.5993388,9.608954557,0.22363525
100,21,1.841,12599.3388,5/30/2010,5/19/2010,4/28/2010,28-Apr,118,2010,31.5,2010,139,6.037844089,before HW,55.598,77.581,12.5993388,9.840036549,0.213987783
